model,accuracy,precision,recall,roc_auc,f1
CatBoostClassifier,0.983,0.9540229885057471,0.8645833333333334,0.9300792772861358,0.907103825136612
RandomForestClassifier,0.98,0.9523809523809523,0.8333333333333334,0.9144542772861358,0.888888888888889
DecisionTreeClassifier,0.98,0.9418604651162791,0.84375,0.9191095132743362,0.8901098901098902
GradientBoostingClassifier,0.98,0.9418604651162791,0.84375,0.9191095132743362,0.8901098901098902
